id,year,gender,school_dependence,ivm_colegio,nem,nem_score,rank_score,ptje_ponderado,ptje_leng_paes,ptje_m1_paes,ptje_m2_paes,alerta_cero,deserta,target
1,2024,M,Particular Subvencionado,0.0,6.13,751.0,784.0,757.25,865.0,995.0,862.0,Riesgo Bajo,0.0,0
2,2023,F,Particular Subvencionado,14.5426436166433,6.3,799.0,829.0,681.0,877.0,691.0,507.0,Riesgo Mínimo,0.0,0
3,2023,M,Particular Subvencionado,17.2144840861769,6.1,742.0,762.0,622.8000000000001,861.0,569.0,426.0,Riesgo Alto,0.0,1
4,2024,M,Particular Subvencionado,0.0,6.63,893.0,909.0,795.2,925.0,992.0,858.0,Riesgo Bajo,0.0,0
5,2023,M,Particular Subvencionado,12.9510897235601,5.9,685.0,686.0,726.0500000000001,854.0,963.0,802.0,Riesgo Bajo,0.0,0
6,2023,M,Particular Subvencionado,17.4658224973703,6.38,823.0,851.0,649.5,768.0,507.0,395.0,Riesgo Mínimo,0.0,0
7,2023,M,Particular Subvencionado,17.4285005797159,6.05,727.0,766.0,559.5500000000001,756.0,434.0,342.0,Riesgo Mínimo,0.0,0
8,2023,M,Particular Pagado,0.0,6.48,851.0,861.0,777.9000000000001,958.0,963.0,802.0,Riesgo Bajo,0.0,0
9,2023,F,Particular Subvencionado,17.8535972365478,6.5,856.0,897.0,741.5999999999999,972.0,894.0,689.0,Riesgo Mínimo,0.0,0
10,2023,F,Particular Subvencionado,14.2451196167179,5.88,680.0,677.0,585.95,756.0,539.0,413.0,Riesgo Mínimo,0.0,0
11,2023,M,Particular Subvencionado,20.0611688444047,5.88,681.0,714.0,544.05,496.0,500.0,386.0,Riesgo Bajo,1.0,0
12,2023,M,Particular Subvencionado,20.0611688444047,5.63,609.0,625.0,556.8,729.0,539.0,413.0,Riesgo Medio,1.0,1
13,2023,M,Municipal,21.7934055409175,5.83,664.0,688.0,530.8000000000001,591.0,469.0,365.0,Riesgo Medio,1.0,1
14,2023,F,Particular Subvencionado,13.9465584300863,6.28,793.0,794.0,671.85,868.0,628.0,474.0,Riesgo Bajo,0.0,0
15,2023,M,Municipal,19.4341173581864,6.08,738.0,768.0,593.5000000000001,813.0,476.0,371.0,Riesgo Bajo,1.0,0
16,2023,M,Particular Subvencionado,16.7656715335087,6.08,736.0,740.0,579.1,598.0,505.0,393.0,Riesgo Bajo,0.0,0
17,2023,M,Particular Subvencionado,16.6573582631383,5.7,630.0,630.0,527.0,698.0,487.0,378.0,Riesgo Medio,0.0,1
18,2023,F,Municipal,21.6573103608043,6.2,771.0,813.0,633.9999999999999,745.0,539.0,413.0,Riesgo Bajo,0.0,0
19,2023,M,Municipal,20.4468440998576,5.13,459.0,459.0,501.1,738.0,551.0,420.0,Riesgo Alto,1.0,1
20,2023,M,Municipal,22.8455370416316,6.0,715.0,809.0,574.5,714.0,457.0,360.0,Riesgo Medio,1.0,1
21,2023,M,Particular Subvencionado,17.4285005797159,5.63,608.0,608.0,569.2,698.0,587.0,440.0,Riesgo Mínimo,1.0,0
22,2023,M,Particular Subvencionado,21.0515575591183,5.5,572.0,572.0,514.7,714.0,487.0,378.0,Riesgo Medio,0.0,1
23,2023,F,Municipal,22.8455370416316,6.55,871.0,1000.0,679.4499999999999,663.0,514.0,398.0,Riesgo Bajo,0.0,0
24,2023,M,Municipal,20.1199785395207,6.05,729.0,793.0,594.8,769.0,487.0,378.0,Riesgo Mínimo,1.0,0
25,2023,F,Particular Subvencionado,12.6297868479838,6.7,914.0,957.0,702.35,738.0,601.0,451.0,Riesgo Medio,0.0,1
26,2023,F,Particular Subvencionado,17.1917190767604,6.5,857.0,904.0,697.8,943.0,663.0,486.0,Riesgo Alto,0.0,1
27,2023,M,Municipal,18.8371745215681,6.35,815.0,871.0,589.85,644.0,487.0,378.0,Riesgo Alto,0.0,1
28,2023,F,Municipal,17.1648532542905,6.7,914.0,938.0,687.85,843.0,601.0,451.0,Riesgo Alto,0.0,1
29,2023,M,Particular Pagado,0.0,6.43,837.0,835.0,734.75,878.0,817.0,615.0,Riesgo Bajo,0.0,0
